"chromosome" "v" "D" "refractory_period_prop_cohort_alive" "sex_expressed" "dominance" "Starting_pop_size" "baseline_mean_lifespan" "f" "refractory_period" "mutation_time" "time_end" "parameter_space_ID" "mutation_events"
"62" "P" 0.004 -0.12375 0.175 0 1 4000 1 5 1.74296930505862 5 1000 22659 5
"63" "P" 0.004 -0.28875 0.5875 0 1 4000 1 5 0.531879032963823 5 1000 22879 5
"64" "P" 0.004 -0.2475 0.38125 1 1 4000 1 5 0.964299951060516 5 1000 22820 5
"65" "P" 0.004 -0.2475 0.34 1 1 4000 1 5 1.07880966137193 5 1000 22818 5
"66" "P" 0.004 -0.825 0.05125 1 1 4000 1 5 2.97103966096362 5 1000 23504 5
"67" "P" 0.04 -0.9075 0.0925 1 1 4000 1 5 2.38054663446376 5 1000 24856 5
"68" "P" 0.04 -0.2475 0.38125 0 1 4000 1 5 0.964299951060516 5 1000 24069 5
"69" "P" 0.04 -0.70125 0.505 1 1 4000 1 5 0.683196849706777 5 1000 24626 5
"70" "P" 0.004 -0.7425 0.5875 1 1 4000 1 5 0.531879032963823 5 1000 23430 5
"71" "P" 0.04 -0.04125 0.95875 1 1 4000 1 5 0.042124926300671 5 1000 23848 5
"72" "P" 0.04 -0.4125 0.01 0 1 4000 1 5 4.60517018598809 5 1000 24251 5
"73" "P" 0.04 -0.94875 0.05125 1 1 4000 1 5 2.97103966096362 5 1000 24904 5
"74" "P" 0.004 -0.12375 0.54625 0 1 4000 1 5 0.604678532572337 5 1000 22677 5
"75" "P" 0.04 -0.04125 0.175 0 1 4000 1 5 1.74296930505862 5 1000 23809 5
"76" "P" 0.004 -0.825 1 1 1 4000 1 5 0 5 1000 23550 5
"77" "P" 0.04 -0.86625 0.7525 0 1 4000 1 5 0.284354282359106 5 1000 24837 5
"78" "P" 0.04 -0.61875 0.835 1 1 4000 1 5 0.180323554131281 5 1000 24542 5
"79" "P" 0.04 -0.4125 0.62875 0 1 4000 1 5 0.464021557568188 5 1000 24281 5
"80" "P" 0.004 -0.4125 0.87625 0 1 4000 1 5 0.132103840633337 5 1000 23043 5
"81" "P" 0.04 -0.33 0.62875 0 1 4000 1 5 0.464021557568188 5 1000 24181 5
"82" "P" 0.04 -0.825 0.21625 1 1 4000 1 5 1.53132013317015 5 1000 24762 5
"83" "P" 0.04 -0.12375 0.95875 0 1 4000 1 5 0.042124926300671 5 1000 23947 5
"84" "P" 0.04 -0.53625 0.38125 1 1 4000 1 5 0.964299951060516 5 1000 24420 5
"85" "P" 0.04 -0.61875 0.34 1 1 4000 1 5 1.07880966137193 5 1000 24518 5
"86" "P" 0.004 -0.94875 0.175 1 1 4000 1 5 1.74296930505862 5 1000 23660 5
"87" "P" 0.004 -0.28875 0.2575 0 1 4000 1 5 1.35673555887835 5 1000 22863 5
"88" "P" 0.004 -0.9075 0.505 0 1 4000 1 5 0.683196849706777 5 1000 23625 5
"89" "P" 0.04 -0.825 0.175 0 1 4000 1 5 1.74296930505862 5 1000 24759 5
"90" "P" 0.004 -0.12375 0.835 0 1 4000 1 5 0.180323554131281 5 1000 22691 5
"91" "P" 0.004 -0.94875 0.13375 1 1 4000 1 5 2.01178289320602 5 1000 23658 5
"92" "P" 0.04 -0.53625 0.79375 0 1 4000 1 5 0.230986728775236 5 1000 24439 5
"93" "P" 0.04 -0.94875 0.67 0 1 4000 1 5 0.400477566597125 5 1000 24933 5
"94" "P" 0.004 -0.28875 0.05125 1 1 4000 1 5 2.97103966096362 5 1000 22854 5
"95" "P" 0.004 -0.94875 0.95875 1 1 4000 1 5 0.042124926300671 5 1000 23698 5
"96" "P" 0.004 -0.86625 0.34 0 1 4000 1 5 1.07880966137193 5 1000 23567 5
"97" "P" 0.004 -0.86625 0.38125 1 1 4000 1 5 0.964299951060516 5 1000 23570 5
"98" "P" 0.04 -0.37125 0.9175 1 1 4000 1 5 0.0861026990534116 5 1000 24246 5
"99" "P" 0.004 -0.2475 0.29875 0 1 4000 1 5 1.20814817573642 5 1000 22815 5
"100" "P" 0.004 -0.825 0.34 1 1 4000 1 5 1.07880966137193 5 1000 23518 5
"101" "P" 0.004 -0.86625 0.13375 0 1 4000 1 5 2.01178289320602 5 1000 23557 5
"102" "P" 0.004 -0.86625 1 1 1 4000 1 5 0 5 1000 23600 5
"103" "P" 0.04 -0.4125 0.175 0 1 4000 1 5 1.74296930505862 5 1000 24259 5
"104" "P" 0.004 -0.165 0.175 1 1 4000 1 5 1.74296930505862 5 1000 22710 5
"105" "P" 0.004 -0.70125 0.05125 1 1 4000 1 5 2.97103966096362 5 1000 23354 5
"106" "P" 0.004 -0.2475 0.05125 0 1 4000 1 5 2.97103966096362 5 1000 22803 5
"107" "P" 0.04 -0.70125 0.2575 1 1 4000 1 5 1.35673555887835 5 1000 24614 5
"108" "P" 0.04 -0.86625 0.34 1 1 4000 1 5 1.07880966137193 5 1000 24818 5
"109" "P" 0.04 -0.78375 0.01 0 1 4000 1 5 4.60517018598809 5 1000 24701 5
"110" "P" 0.04 -0.70125 0.38125 1 1 4000 1 5 0.964299951060516 5 1000 24620 5
"111" "P" 0.04 -0.825 0.67 0 1 4000 1 5 0.400477566597125 5 1000 24783 5
"112" "P" 0.04 -0.4125 0.835 1 1 4000 1 5 0.180323554131281 5 1000 24292 5
"113" "P" 0.004 -0.2475 0.4225 0 1 4000 1 5 0.861565832184908 5 1000 22821 5
"114" "P" 0.04 0 0.13375 0 1 4000 1 5 2.01178289320602 5 1000 23757 5
"115" "P" 0.004 -0.37125 0.95875 0 1 4000 1 5 0.042124926300671 5 1000 22997 5
"116" "P" 0.04 -0.94875 0.71125 0 1 4000 1 5 0.340731293541596 5 1000 24935 5
"117" "P" 0.04 -0.28875 0.505 1 1 4000 1 5 0.683196849706777 5 1000 24126 5
"118" "P" 0.004 -0.495 0.62875 1 1 4000 1 5 0.464021557568188 5 1000 23132 5
"119" "P" 0.04 -0.12375 0.67 0 1 4000 1 5 0.400477566597125 5 1000 23933 5
"120" "P" 0.004 -0.7425 0.7525 0 1 4000 1 5 0.284354282359106 5 1000 23437 5
"121" "P" 0.04 -0.99 0.5875 1 1 4000 1 5 0.531879032963823 5 1000 24980 5
"122" "P" 0.04 -0.61875 0.95875 0 1 4000 1 5 0.042124926300671 5 1000 24547 5
"123" "P" 0.04 -0.86625 0.62875 0 1 4000 1 5 0.464021557568188 5 1000 24831 5
"124" "P" 0.04 -0.20625 0.29875 1 1 4000 1 5 1.20814817573642 5 1000 24016 5
"125" "P" 0.004 -0.94875 0.79375 0 1 4000 1 5 0.230986728775236 5 1000 23689 5
"126" "P" 0.004 -0.53625 0.21625 1 1 4000 1 5 1.53132013317015 5 1000 23162 5
"127" "P" 0.04 -0.2475 0.13375 0 1 4000 1 5 2.01178289320602 5 1000 24057 5
"128" "P" 0.004 -0.4125 0.79375 0 1 4000 1 5 0.230986728775236 5 1000 23039 5
"129" "P" 0.004 -0.9075 0.71125 1 1 4000 1 5 0.340731293541596 5 1000 23636 5
"130" "P" 0.004 -0.86625 0.835 1 1 4000 1 5 0.180323554131281 5 1000 23592 5
"131" "P" 0.004 -0.99 0.835 0 1 4000 1 5 0.180323554131281 5 1000 23741 5
"132" "P" 0.04 -0.495 0.29875 1 1 4000 1 5 1.20814817573642 5 1000 24366 5
"133" "P" 0.004 -0.61875 0.175 0 1 4000 1 5 1.74296930505862 5 1000 23259 5
"134" "P" 0.004 -0.12375 0.46375 0 1 4000 1 5 0.768409665060492 5 1000 22673 5
"135" "P" 0.004 -0.04125 0.175 0 1 4000 1 5 1.74296930505862 5 1000 22559 5
"136" "P" 0.004 -0.825 0.29875 1 1 4000 1 5 1.20814817573642 5 1000 23516 5
"137" "P" 0.004 -0.66 0.38125 0 1 4000 1 5 0.964299951060516 5 1000 23319 5
"138" "P" 0.04 -0.53625 0.05125 0 1 4000 1 5 2.97103966096362 5 1000 24403 5
"139" "P" 0.04 -0.28875 0.29875 1 1 4000 1 5 1.20814817573642 5 1000 24116 5
"140" "P" 0.04 -0.20625 0.67 1 1 4000 1 5 0.400477566597125 5 1000 24034 5
"141" "P" 0.004 -0.20625 0.505 1 1 4000 1 5 0.683196849706777 5 1000 22776 5
"142" "P" 0.04 -0.70125 0.05125 0 1 4000 1 5 2.97103966096362 5 1000 24603 5
"143" "P" 0.004 -0.825 0.87625 0 1 4000 1 5 0.132103840633337 5 1000 23543 5
"144" "P" 0.004 -0.7425 0.7525 1 1 4000 1 5 0.284354282359106 5 1000 23438 5
"145" "P" 0.04 0 0.62875 0 1 4000 1 5 0.464021557568188 5 1000 23781 5
"146" "P" 0.004 -0.20625 0.29875 0 1 4000 1 5 1.20814817573642 5 1000 22765 5
"147" "P" 0.04 -0.165 0.95875 0 1 4000 1 5 0.042124926300671 5 1000 23997 5
"148" "P" 0.04 -0.825 0.05125 1 1 4000 1 5 2.97103966096362 5 1000 24754 5
"149" "P" 0.004 -0.20625 0.87625 1 1 4000 1 5 0.132103840633337 5 1000 22794 5
"150" "P" 0.04 -0.28875 0.01 0 1 4000 1 5 4.60517018598809 5 1000 24101 5
"151" "P" 0.004 0 0.21625 0 1 4000 1 5 1.53132013317015 5 1000 22511 5
"152" "P" 0.004 -0.495 0.5875 0 1 4000 1 5 0.531879032963823 5 1000 23129 5
"153" "P" 0.04 -0.0825 0.71125 1 1 4000 1 5 0.340731293541596 5 1000 23886 5
"154" "P" 0.004 -0.94875 0.4225 0 1 4000 1 5 0.861565832184908 5 1000 23671 5
"155" "P" 0.04 -0.33 0.13375 0 1 4000 1 5 2.01178289320602 5 1000 24157 5
"156" "P" 0.004 -0.20625 0.54625 0 1 4000 1 5 0.604678532572337 5 1000 22777 5
"157" "P" 0.04 -0.37125 0.505 1 1 4000 1 5 0.683196849706777 5 1000 24226 5
"158" "P" 0.04 -0.5775 0.505 1 1 4000 1 5 0.683196849706777 5 1000 24476 5
"159" "P" 0.04 -0.825 0.0925 1 1 4000 1 5 2.38054663446376 5 1000 24756 5
"160" "P" 0.004 -0.4125 0.01 0 1 4000 1 5 4.60517018598809 5 1000 23001 5
"161" "P" 0.004 -0.94875 0.38125 1 1 4000 1 5 0.964299951060516 5 1000 23670 5
"162" "P" 0.004 -0.78375 0.67 1 1 4000 1 5 0.400477566597125 5 1000 23484 5
"163" "P" 0.04 -0.5775 0.505 0 1 4000 1 5 0.683196849706777 5 1000 24475 5
"164" "P" 0.04 0 0.67 1 1 4000 1 5 0.400477566597125 5 1000 23784 5
"165" "P" 0.004 -0.20625 0.505 0 1 4000 1 5 0.683196849706777 5 1000 22775 5
"166" "P" 0.004 -0.66 0.7525 0 1 4000 1 5 0.284354282359106 5 1000 23337 5
"167" "P" 0.004 -0.12375 0.9175 0 1 4000 1 5 0.0861026990534116 5 1000 22695 5
"168" "P" 0.04 -0.94875 0.4225 1 1 4000 1 5 0.861565832184908 5 1000 24922 5
"169" "P" 0.04 -0.495 0.2575 1 1 4000 1 5 1.35673555887835 5 1000 24364 5
"170" "P" 0.04 -0.33 0.46375 0 1 4000 1 5 0.768409665060492 5 1000 24173 5
"171" "P" 0.004 -0.78375 1 1 1 4000 1 5 0 5 1000 23500 5
"172" "P" 0.04 -0.45375 0.7525 1 1 4000 1 5 0.284354282359106 5 1000 24338 5
"173" "P" 0.004 -0.66 0.46375 0 1 4000 1 5 0.768409665060492 5 1000 23323 5
"174" "P" 0.04 -0.78375 0.87625 0 1 4000 1 5 0.132103840633337 5 1000 24743 5
"175" "P" 0.004 -0.33 0.34 1 1 4000 1 5 1.07880966137193 5 1000 22918 5
"176" "P" 0.004 -0.94875 0.54625 0 1 4000 1 5 0.604678532572337 5 1000 23677 5
"177" "P" 0.004 -0.37125 0.9175 1 1 4000 1 5 0.0861026990534116 5 1000 22996 5
"178" "P" 0.004 -0.165 0.9175 0 1 4000 1 5 0.0861026990534116 5 1000 22745 5
"179" "P" 0.004 -0.37125 0.34 1 1 4000 1 5 1.07880966137193 5 1000 22968 5
"180" "P" 0.004 -0.37125 0.21625 0 1 4000 1 5 1.53132013317015 5 1000 22961 5
"181" "P" 0.04 -0.165 0.13375 0 1 4000 1 5 2.01178289320602 5 1000 23957 5
"182" "P" 0.04 -0.0825 0.13375 0 1 4000 1 5 2.01178289320602 5 1000 23857 5
"183" "P" 0.04 -0.33 0.4225 1 1 4000 1 5 0.861565832184908 5 1000 24172 5
"184" "P" 0.04 -0.7425 0.79375 1 1 4000 1 5 0.230986728775236 5 1000 24690 5
"185" "P" 0.004 -0.165 0.4225 0 1 4000 1 5 0.861565832184908 5 1000 22721 5
"186" "P" 0.004 -0.45375 0.21625 1 1 4000 1 5 1.53132013317015 5 1000 23062 5
"187" "P" 0.004 -0.4125 0.5875 1 1 4000 1 5 0.531879032963823 5 1000 23030 5
"188" "P" 0.04 0 0.9175 1 1 4000 1 5 0.0861026990534116 5 1000 23796 5
"189" "P" 0.04 -0.94875 0.2575 0 1 4000 1 5 1.35673555887835 5 1000 24913 5
"190" "P" 0.04 -0.45375 0.54625 1 1 4000 1 5 0.604678532572337 5 1000 24328 5
"191" "P" 0.004 -0.5775 0.4225 1 1 4000 1 5 0.861565832184908 5 1000 23222 5
"192" "P" 0.004 -0.61875 0.62875 0 1 4000 1 5 0.464021557568188 5 1000 23281 5
"193" "P" 0.04 -0.66 0.7525 1 1 4000 1 5 0.284354282359106 5 1000 24588 5
"194" "P" 0.04 -0.33 0.835 1 1 4000 1 5 0.180323554131281 5 1000 24192 5
"195" "P" 0.004 -0.33 0.5875 0 1 4000 1 5 0.531879032963823 5 1000 22929 5
"196" "P" 0.004 -0.99 0.54625 0 1 4000 1 5 0.604678532572337 5 1000 23727 5
"197" "P" 0.004 -0.70125 0.175 1 1 4000 1 5 1.74296930505862 5 1000 23360 5
"198" "P" 0.004 -0.94875 0.29875 1 1 4000 1 5 1.20814817573642 5 1000 23666 5
"199" "P" 0.004 -0.45375 0.05125 0 1 4000 1 5 2.97103966096362 5 1000 23053 5
"200" "P" 0.004 -0.825 0.5875 1 1 4000 1 5 0.531879032963823 5 1000 23530 5
"201" "P" 0.004 -0.33 0.13375 0 1 4000 1 5 2.01178289320602 5 1000 22907 5
