"chromosome" "v" "D" "refractory_period_prop_cohort_alive" "sex_expressed" "dominance" "Starting_pop_size" "baseline_mean_lifespan" "f" "refractory_period" "mutation_time" "time_end" "parameter_space_ID" "mutation_events"
"61" "Y" 0.02 -0.78375 0.505 0 1 8000 1 5 0.683196849706777 5 1000 13613 5
"62" "Y" 0.02 0 0.835 0 1 8000 1 5 0.180323554131281 5 1000 13146 5
"63" "Y" 0.02 -0.94875 1 0 1 8000 1 5 0 5 1000 13725 5
"64" "Y" 0.02 -0.28875 0.62875 0 1 8000 1 5 0.464021557568188 5 1000 13316 5
"65" "Y" 0.002 -0.2475 0.9175 0 1 8000 1 5 0.0861026990534116 5 1000 12673 5
"66" "Y" 0.02 -0.94875 0.38125 0 1 8000 1 5 0.964299951060516 5 1000 13710 5
"67" "Y" 0.002 -0.9075 0.05125 0 1 8000 1 5 2.97103966096362 5 1000 13052 5
"68" "Y" 0.02 -0.2475 0.87625 0 1 8000 1 5 0.132103840633337 5 1000 13297 5
"69" "Y" 0.002 -0.0825 0.62875 0 1 8000 1 5 0.464021557568188 5 1000 12566 5
"70" "Y" 0.02 -0.04125 0.175 0 1 8000 1 5 1.74296930505862 5 1000 13155 5
"71" "Y" 0.02 -0.04125 0.71125 0 1 8000 1 5 0.340731293541596 5 1000 13168 5
"72" "Y" 0.02 -0.70125 0.2575 0 1 8000 1 5 1.35673555887835 5 1000 13557 5
"73" "Y" 0.02 -0.7425 0.34 0 1 8000 1 5 1.07880966137193 5 1000 13584 5
"74" "Y" 0.02 -0.94875 0.7525 0 1 8000 1 5 0.284354282359106 5 1000 13719 5
"75" "Y" 0.002 -0.66 0.21625 0 1 8000 1 5 1.53132013317015 5 1000 12906 5
"76" "Y" 0.02 0 0.13375 0 1 8000 1 5 2.01178289320602 5 1000 13129 5
"77" "Y" 0.02 -0.86625 0.29875 0 1 8000 1 5 1.20814817573642 5 1000 13658 5
"78" "Y" 0.02 -0.9075 0.46375 0 1 8000 1 5 0.768409665060492 5 1000 13687 5
"79" "Y" 0.002 -0.33 0.21625 0 1 8000 1 5 1.53132013317015 5 1000 12706 5
"80" "Y" 0.002 -0.66 0.505 0 1 8000 1 5 0.683196849706777 5 1000 12913 5
"81" "Y" 0.002 -0.20625 0.13375 0 1 8000 1 5 2.01178289320602 5 1000 12629 5
"82" "Y" 0.02 -0.28875 0.9175 0 1 8000 1 5 0.0861026990534116 5 1000 13323 5
"83" "Y" 0.02 -0.825 0.2575 0 1 8000 1 5 1.35673555887835 5 1000 13632 5
"84" "Y" 0.002 -0.33 0.2575 0 1 8000 1 5 1.35673555887835 5 1000 12707 5
"85" "Y" 0.02 -0.28875 0.21625 0 1 8000 1 5 1.53132013317015 5 1000 13306 5
"86" "Y" 0.002 -0.4125 0.87625 0 1 8000 1 5 0.132103840633337 5 1000 12772 5
"87" "Y" 0.02 0 0.34 0 1 8000 1 5 1.07880966137193 5 1000 13134 5
"88" "Y" 0.002 -0.33 0.46375 0 1 8000 1 5 0.768409665060492 5 1000 12712 5
"89" "Y" 0.002 -0.5775 0.38125 0 1 8000 1 5 0.964299951060516 5 1000 12860 5
"90" "Y" 0.002 -0.66 0.87625 0 1 8000 1 5 0.132103840633337 5 1000 12922 5
"91" "Y" 0.002 -0.7425 0.505 0 1 8000 1 5 0.683196849706777 5 1000 12963 5
"92" "Y" 0.02 -0.99 0.29875 0 1 8000 1 5 1.20814817573642 5 1000 13733 5
"93" "Y" 0.02 -0.33 0.29875 0 1 8000 1 5 1.20814817573642 5 1000 13333 5
"94" "Y" 0.02 -0.20625 0.9175 0 1 8000 1 5 0.0861026990534116 5 1000 13273 5
